practitioner_role_id,location_id,location_reference
b5501f47-4da2-4770-b5fb-5dd25d445e96,da0f259b-eae3-466c-a072-cb57188985e5,Location/da0f259b-eae3-466c-a072-cb57188985e5
b5501f47-4da2-4770-b5fb-5dd25d445e96,dd1258f5-3c58-4c74-934d-425bb07e45ce,Location/dd1258f5-3c58-4c74-934d-425bb07e45ce
b5501f47-4da2-4770-b5fb-5dd25d445e96,c8e9b0d5-9741-4520-b361-77fae797f29a,Location/c8e9b0d5-9741-4520-b361-77fae797f29a
8e537610-f49d-4291-a356-1bf1240e28b9,cb6ca854-8651-4265-a5d1-f65e5e86d6ce,Location/cb6ca854-8651-4265-a5d1-f65e5e86d6ce
fd00668d-1175-4359-bbee-e26002bfa411,77cad1d3-b0a1-40c2-ae71-8dde8fdb4037,Location/77cad1d3-b0a1-40c2-ae71-8dde8fdb4037
566944e5-ea13-4b70-aa53-083b440c56e4,c5aae192-faf6-4f09-b02b-ded77e0d807e,Location/c5aae192-faf6-4f09-b02b-ded77e0d807e
5271aae7-6c3a-4e51-bad7-f1cb46ad28e0,320a8098-c954-4cc5-af88-e45c8f8cbe8a,Location/320a8098-c954-4cc5-af88-e45c8f8cbe8a
5271aae7-6c3a-4e51-bad7-f1cb46ad28e0,3c3da365-bb5d-47fd-90cf-e61244189424,Location/3c3da365-bb5d-47fd-90cf-e61244189424
0bc2f1d2-6f4b-42f6-80dd-9b408cb4e817,e3480a92-3c1a-451c-946f-c337eb7920ed,Location/e3480a92-3c1a-451c-946f-c337eb7920ed
92f33548-0a83-4116-a600-63eec1956597,0ccac85b-191a-4f55-9920-5d71c6a1d550,Location/0ccac85b-191a-4f55-9920-5d71c6a1d550
92f33548-0a83-4116-a600-63eec1956597,7df6b32d-1ddb-4fe5-b21a-c93145cd6c33,Location/7df6b32d-1ddb-4fe5-b21a-c93145cd6c33
cdd0e564-d447-419c-bc89-9076b01b3a24,dbe72516-0909-4234-9141-275e22ec2029,Location/dbe72516-0909-4234-9141-275e22ec2029
cdd0e564-d447-419c-bc89-9076b01b3a24,04d400e0-70b0-4a6b-961d-fb2e0ef33098,Location/04d400e0-70b0-4a6b-961d-fb2e0ef33098
cdd0e564-d447-419c-bc89-9076b01b3a24,c01ff98c-469b-4148-81c9-7e98a7c209fe,Location/c01ff98c-469b-4148-81c9-7e98a7c209fe
08c06cb9-c145-42aa-b243-f24087ddb956,599b4722-7b13-4203-8a7c-87b03cb9bba5,Location/599b4722-7b13-4203-8a7c-87b03cb9bba5
9982d55d-1e69-43dc-8f29-8e3b86796132,1c606c65-458a-4070-a57f-24f9135ff17b,Location/1c606c65-458a-4070-a57f-24f9135ff17b
9982d55d-1e69-43dc-8f29-8e3b86796132,71fbec43-ad3f-4cb9-93fb-3bf3bae625f1,Location/71fbec43-ad3f-4cb9-93fb-3bf3bae625f1
9982d55d-1e69-43dc-8f29-8e3b86796132,772939cb-cca3-49cb-890a-031a77c4c166,Location/772939cb-cca3-49cb-890a-031a77c4c166
9982d55d-1e69-43dc-8f29-8e3b86796132,bb113d3a-b08a-40b4-929c-d1c82636bc87,Location/bb113d3a-b08a-40b4-929c-d1c82636bc87
9982d55d-1e69-43dc-8f29-8e3b86796132,8be7cc3c-3d28-44b2-a459-39ec97afe5a8,Location/8be7cc3c-3d28-44b2-a459-39ec97afe5a8
9982d55d-1e69-43dc-8f29-8e3b86796132,a405232d-f832-4b0d-9430-f4025ed9dfec,Location/a405232d-f832-4b0d-9430-f4025ed9dfec
1752d11d-a43c-4f4a-b9dd-d2c91b9cc2b3,c30b11f7-8bab-41f9-bbfe-c9dc51486969,Location/c30b11f7-8bab-41f9-bbfe-c9dc51486969
ef370183-3e36-481a-9cc3-acd7d68834a3,82a17e3d-9871-41be-acfb-88704115eed4,Location/82a17e3d-9871-41be-acfb-88704115eed4
aede2473-11c7-412f-9f4f-365abc809be2,a12cfe34-92ac-4b85-ab7d-20b2dccd59a6,Location/a12cfe34-92ac-4b85-ab7d-20b2dccd59a6
aede2473-11c7-412f-9f4f-365abc809be2,5cc68179-a71b-4918-b4d0-b147d0c37cf0,Location/5cc68179-a71b-4918-b4d0-b147d0c37cf0
aede2473-11c7-412f-9f4f-365abc809be2,6c04cf39-c854-4a9d-a717-15880c0c3a56,Location/6c04cf39-c854-4a9d-a717-15880c0c3a56
aede2473-11c7-412f-9f4f-365abc809be2,58296598-3c5f-49e3-a1ba-e13b9ae7d9f4,Location/58296598-3c5f-49e3-a1ba-e13b9ae7d9f4
aede2473-11c7-412f-9f4f-365abc809be2,4f921e6b-8f16-4aa8-9bc4-09e52f4eb8f4,Location/4f921e6b-8f16-4aa8-9bc4-09e52f4eb8f4
30992dbf-6c94-4b73-b8e7-81a6033a0b23,320a8098-c954-4cc5-af88-e45c8f8cbe8a,Location/320a8098-c954-4cc5-af88-e45c8f8cbe8a
0c5e70a8-5999-4318-b25c-42208afa6bf2,6633fc17-3ac5-44f5-bdc7-902ebeeed28f,Location/6633fc17-3ac5-44f5-bdc7-902ebeeed28f
5cfad549-bae6-4a75-a14c-f39bebc8c8e3,ba2222aa-5c38-4e82-9455-d093cebba8bc,Location/ba2222aa-5c38-4e82-9455-d093cebba8bc
4776237b-2fcf-4481-ba1c-eecdd7cbb77f,599b4722-7b13-4203-8a7c-87b03cb9bba5,Location/599b4722-7b13-4203-8a7c-87b03cb9bba5
